"MacroTrends Data Download"
"BRK.A - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1980-03-17,290,310,290,290,10000
1980-03-18,290,290,290,290,0
1980-03-19,290,310,290,290,20000
1980-03-20,290,290,290,290,0
1980-03-21,290,290,290,290,0
1980-03-24,290,290,270,270,10000
1980-03-25,270,270,270,270,0
1980-03-26,270,270,270,270,0
1980-03-27,270,270,270,270,0
1980-03-28,270,270,270,270,0
1980-03-31,270,280,260,260,10000
1980-04-01,260,280,260,260,30000
1980-04-02,260,260,260,260,0
1980-04-03,260,280,260,260,10000
1980-04-07,265,285,265,265,10000
1980-04-08,265,285,265,265,10000
1980-04-09,265,285,265,265,10000
1980-04-10,265,280,260,260,90000
1980-04-11,260,260,260,260,0
1980-04-14,260,275,255,255,20000
1980-04-15,255,265,245,245,20000
1980-04-16,245,245,245,245,0
1980-04-17,255,275,255,255,10000
1980-04-18,255,275,255,255,20000
1980-04-21,260,280,260,260,20000
1980-04-22,260,260,260,260,0
1980-04-23,275,295,275,275,20000
1980-04-24,275,295,275,275,10000
1980-04-25,275,275,275,275,0
1980-04-28,275,275,275,275,0
1980-04-29,275,275,275,275,0
1980-04-30,275,275,275,275,0
1980-05-01,275,275,275,275,0
1980-05-02,275,275,275,275,0
1980-05-05,285,305,285,285,20000
1980-05-06,285,285,285,285,0
1980-05-07,285,285,285,285,0
1980-05-08,285,285,285,285,0
1980-05-09,285,285,285,285,0
1980-05-12,285,285,285,285,0
1980-05-13,305,325,305,305,10000
1980-05-14,305,305,305,305,0
1980-05-15,310,330,310,310,20000
1980-05-16,310,330,310,310,10000
1980-05-19,310,310,310,310,0
1980-05-20,310,330,310,310,20000
1980-05-21,315,335,315,315,20000
1980-05-22,315,335,315,315,10000
1980-05-23,315,315,315,315,0
1980-05-27,315,315,315,315,0
1980-05-28,320,340,320,320,10000
1980-05-29,320,320,320,320,0
1980-05-30,320,340,320,320,10000
1980-06-02,320,330,310,310,20000
1980-06-03,310,330,310,310,10000
1980-06-04,310,310,310,310,0
1980-06-05,310,310,310,310,0
1980-06-06,310,310,310,310,0
1980-06-09,310,330,310,310,10000
1980-06-10,315,335,315,315,10000
1980-06-11,315,315,315,315,0
1980-06-12,320,340,320,320,20000
1980-06-13,320,340,320,320,10000
1980-06-16,320,320,320,320,0
1980-06-17,320,340,320,320,10000
1980-06-18,320,320,320,320,0
1980-06-19,320,340,320,320,20000
1980-06-20,320,330,310,310,10000
1980-06-23,310,330,310,310,10000
1980-06-24,310,310,310,310,0
1980-06-25,310,310,310,310,0
1980-06-26,310,310,310,310,0
1980-06-27,310,325,305,305,30000
1980-06-30,305,305,305,305,0
1980-07-01,305,305,305,305,0
1980-07-02,305,305,305,305,0
1980-07-03,305,325,305,305,30000
1980-07-07,310,325,310,310,10000
1980-07-08,310,310,310,310,0
1980-07-09,310,310,310,310,0
1980-07-10,315,330,315,315,50000
1980-07-11,320,335,320,320,20000
1980-07-14,325,340,325,325,10000
1980-07-15,335,345,335,335,20000
1980-07-16,335,345,330,330,10000
1980-07-17,330,345,325,325,10000
1980-07-18,325,345,325,325,10000
1980-07-21,325,325,325,325,0
1980-07-22,325,325,325,325,0
1980-07-23,325,325,325,325,0
